date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,1107.0,1151.5,1086.0,1144.0,5.41,263845.0,297049298.9,2022,37.42,21.5,14.8,30.0
2022-01-03,1150.0,1160.0,1137.0,1137.0,-0.61,130041.0,149363282.6,2022,37.42,21.5,14.8,30.0
2022-01-04,1137.0,1139.0,1117.2,1119.0,-1.58,116739.0,130969035.9,2022,37.42,21.5,14.8,30.0
2022-01-05,1122.0,1138.0,1110.0,1111.9,-0.63,75462.0,84317711.8,2022,37.42,21.5,14.8,30.0
2022-01-06,1111.0,1123.0,1099.6,1114.0,0.19,67780.0,75380074.6,2022,37.42,21.5,14.8,30.0
2022-01-09,1120.0,1129.0,1110.0,1113.0,-0.09,126780.0,141472657.4,2022,37.42,21.5,14.8,30.0
2022-01-10,1113.0,1119.9,1106.1,1111.3,-0.15,120640.0,134198561.8,2022,37.42,21.5,14.8,30.0
2022-01-11,1112.0,1117.0,1105.5,1114.8,0.31,102845.0,114259483.8,2022,37.42,21.5,14.8,30.0
2022-01-12,1120.0,1120.0,1107.0,1107.0,-0.7,105760.0,117881455.5,2022,37.42,21.5,14.8,30.0
2022-01-13,1110.0,1112.0,1104.0,1110.0,0.27,92618.0,102712292.8,2022,37.42,21.5,14.8,30.0
2022-01-16,1120.0,1147.0,1110.0,1140.0,2.7,176667.0,200255532.5,2022,37.42,21.5,14.8,30.0
2022-01-17,1162.0,1179.0,1140.0,1178.9,3.41,113189.0,131409910.2,2022,37.42,21.5,14.8,30.0
2022-01-18,1180.0,1209.0,1180.0,1190.0,0.94,116223.0,139206459.5,2022,37.42,21.5,14.8,30.0
2022-01-19,1213.0,1213.0,1170.1,1177.0,-1.09,73385.0,86938565.3,2022,37.42,21.5,14.8,30.0
2022-01-20,1182.0,1182.0,1160.0,1178.0,0.08,47782.0,56086709.1,2022,37.42,21.5,14.8,30.0
2022-01-23,1178.0,1178.0,1155.0,1161.0,-1.44,79765.0,92763156.9,2022,37.42,21.5,14.8,30.0
2022-01-24,1165.0,1165.0,1125.0,1127.0,-2.93,96165.0,109300301.1,2022,37.42,21.5,14.8,30.0
2022-01-25,1135.0,1145.0,1110.0,1129.1,0.19,52041.0,58784959.5,2022,37.42,21.5,14.8,30.0
2022-01-26,1129.0,1134.9,1115.0,1121.0,-0.72,61217.0,68718459.2,2022,37.42,21.5,14.8,30.0
2022-01-27,1121.0,1130.0,1115.0,1117.0,-0.36,56308.0,63080144.6,2022,37.42,21.5,14.8,30.0
2022-01-30,1139.0,1139.0,1127.1,1135.0,1.61,59027.0,66774823.3,2022,37.42,21.5,14.8,30.0
2022-01-31,1149.0,1149.0,1125.0,1127.0,-0.7,38126.0,43092491.0,2022,37.42,21.5,14.8,30.0
2022-02-01,1129.9,1129.9,1119.3,1121.1,-0.52,54175.0,60782611.9,2022,37.42,21.5,14.8,30.0
2022-02-03,1141.5,1143.5,1121.0,1122.0,0.08,61153.0,68883392.7,2022,37.42,21.5,14.8,30.0
2022-02-06,1130.0,1130.0,1108.5,1109.0,-1.16,71516.0,79537958.1,2022,37.42,21.5,14.8,30.0
2022-02-07,1112.0,1112.0,1106.0,1109.0,0.0,68960.0,76447346.1,2022,37.42,21.5,14.8,30.0
2022-02-08,1128.0,1129.0,1106.0,1107.0,-0.18,51383.0,57126383.5,2022,37.42,21.5,14.8,30.0
2022-02-09,1110.0,1110.0,1098.0,1100.9,-0.55,59639.0,65698220.8,2022,37.42,21.5,14.8,30.0
2022-02-10,1101.0,1101.0,1095.0,1097.1,-0.35,62380.0,68504631.0,2022,37.42,21.5,14.8,30.0
2022-02-13,1095.0,1095.0,1069.0,1070.0,-2.47,87909.0,94341596.8,2022,37.42,21.5,14.8,30.0
2022-02-14,1070.0,1079.0,1064.0,1064.0,-0.56,68303.0,73017839.3,2022,37.42,21.5,14.8,30.0
2022-02-15,1085.0,1085.0,1066.1,1075.0,1.03,53230.0,57013901.4,2022,37.42,21.5,14.8,30.0
2022-02-16,1096.0,1096.0,1070.3,1080.0,0.47,46381.0,50105537.1,2022,37.42,21.5,14.8,30.0
2022-02-17,1081.0,1094.0,1070.0,1079.0,-0.09,34444.0,37204791.4,2022,37.42,21.5,14.8,30.0
2022-02-20,1070.0,1075.0,1045.0,1062.0,-1.58,61489.0,65233093.3,2022,37.42,21.5,14.8,30.0
2022-02-21,1070.0,1073.0,1063.0,1067.0,0.47,39297.0,41953268.0,2022,37.42,21.5,14.8,30.0
2022-02-22,1080.0,1080.0,1069.0,1070.5,0.33,41743.0,44701700.4,2022,37.42,21.5,14.8,30.0
2022-02-23,1084.0,1085.0,1065.0,1067.5,-0.28,29641.0,31684313.2,2022,37.42,21.5,14.8,30.0
2022-02-24,1065.0,1067.0,1048.0,1051.0,-1.55,72385.0,76104471.7,2022,37.42,21.5,14.8,30.0
2022-02-27,1051.0,1051.0,1040.0,1041.0,-0.95,43253.0,45196711.7,2022,37.42,21.5,14.8,30.0
2022-02-28,1050.0,1059.0,1037.0,1040.0,-0.1,45316.0,47302325.4,2022,37.42,21.5,14.8,30.0
2022-03-02,1040.0,1048.0,1000.0,1006.0,-3.27,74636.0,75609425.5,2022,37.42,21.5,14.8,30.0
2022-03-06,985.9,1020.0,985.9,1002.9,-0.31,64365.0,64436543.5,2022,37.42,21.5,14.8,30.0
2022-03-07,1010.0,1012.0,1000.0,1011.9,0.9,47036.0,47341531.0,2022,37.42,21.5,14.8,30.0
2022-03-09,1020.0,1020.0,1006.0,1007.9,-0.4,35691.0,36048709.9,2022,37.42,21.5,14.8,30.0
2022-03-10,988.7,1018.0,988.7,1018.0,1.0,31958.0,32299087.5,2022,37.42,21.5,14.8,30.0
2022-03-13,1036.0,1080.0,1034.0,1079.0,5.99,57510.0,60721142.4,2022,37.42,21.5,14.8,30.0
2022-03-14,1100.0,1100.5,1081.0,1092.0,1.2,23711.0,25904097.4,2022,37.42,21.5,14.8,30.0
2022-03-15,1100.0,1100.0,1075.0,1079.0,-1.19,44505.0,48101759.8,2022,37.42,21.5,14.8,30.0
2022-03-16,1079.0,1089.0,1060.0,1064.0,-1.39,25272.0,27019937.4,2022,37.42,21.5,14.8,30.0
2022-03-20,1080.0,1080.0,1055.3,1060.0,-0.38,28034.0,29827949.8,2022,37.42,21.5,14.8,30.0
2022-03-21,1075.0,1075.0,1046.0,1052.0,-0.75,32178.0,33802164.9,2022,37.42,21.5,14.8,30.0
2022-03-22,1060.0,1065.0,1048.1,1050.0,-0.19,35572.0,37554211.7,2022,37.42,21.5,14.8,30.0
2022-03-23,1060.0,1060.0,1043.0,1047.0,-0.29,29498.0,30904783.0,2022,37.42,21.5,14.8,30.0
